ServiceName;ServiceDescription;Notes
AJRouter;AJRouter Service;
ALG;Application Layer Gateway Service;
AppMgmt;Application Management Service;do not disable if deploying software via Group Policy
bthserv;Bluetooth Support Service;
Browser;Computer Browser;
DcpSvc;DataCollectionPublishingService;
DeviceAssociationService;Device Association Service;
DsmSvc;Device Setup Manager Service;
DPS;Diagnostic Policy Service;
WdiServiceHost;Diagnostic Service Host;
WdiSystemHost;Diagnostic System Host;
TrkWks;Distributed Link Tracking Client;
MapsBroker;Downloaded Maps Manager;
EFS;Encrypting File System (EFS);
Eaphost;Extensible Authentication Protocol Service;
FDResPub;Function Discovery Resource Publication;
lfsvc;Geolocation Service;
vmickvpexchange;Hyper-V Data Exchange Service;
vmicguestinterface;Hyper-V Guest Service Interface;
vmicshutdown;Hyper-V Guest Shutdown Service;
vmicheartbeat;Hyper-V Heartbeat Service;
vmicvmsession;Hyper-V PowerShell Direct Service;
vmicrdv;Hyper-V Remote Desktop Virtualization Service;
vmictimesync;Hyper-V Time Synchronization Service;
vmicvss;Hyper-V Volume Shadow Copy Requestor;
UI0Detect;Interactive Services Detection;
SharedAccess;Internet Connection Sharing;
NcaSvc;Network Connectivity Assistant;
CscService;Offline Files;
defragsvc;Optimize Drives;
SstpSvc;Secure Socket Tunneling Protocol Service;
SensrSvc;Sensor Monitoring Service;
ShellHWDetection;Shell Hardware Detection;
SNMPTRAP;SNMP Trap Service;
SSDPSRV;SSDP Discovery;
SysMain;Superfetch;
TapiSrv;Telephony;
Themes;Themes;
upnphost;UPnP Device Host;
VSS;Volume Shadow Copy;
dmwappushservice;WAP Push Message Routing Service;
WinDefend;Windows Defender Service;
WerSvc;Windows Error Reporting Service;
icssvc;Windows Mobile Hotspot Service;
wuauserv;Windows Update;
dot3svc;Wired AutoConfig;
XblAuthManager;Xbox Live Auth Manager;
XblGameSave;Xbox Live Game Save;
